#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 06 10 50 219  7.3  8.9  0.65  3.57  3.48 999 1016.2   8.6   9.4 999.0 99.0 99.00
2012 01 06 11 50 226  8.0  9.4  0.71  3.70  3.43 999 1016.2   8.2   9.4 999.0 99.0 99.00
2012 01 06 12 50 219  8.0  9.5  0.84  4.00  3.63 999 1016.0   8.2   9.5 999.0 99.0 99.00
2012 01 06 13 50 219  7.7  9.3  1.09  4.55  3.98 999 1016.1   8.1   9.0 999.0 99.0 99.00
2012 01 06 14 50 216  7.2  8.5  1.02  4.76  4.00 999 1016.1   8.2   8.6 999.0 99.0 99.00
2012 01 06 15 50 217  6.7  8.3  0.94  5.26  4.01 999 1015.8   8.0   8.5 999.0 99.0 99.00
2012 01 06 16 50 206  7.2  8.4  1.02  5.00  4.03 999 1014.8   8.5   8.5 999.0 99.0 99.00
2012 01 06 17 50 209  6.5  7.6  1.09  5.56  4.18 999 1013.8   8.9   8.5 999.0 99.0 99.00
2012 01 06 18 50 202  6.2  7.3  1.17  4.76  4.25 999 1013.1   9.5   8.5 999.0 99.0 99.00
2012 01 06 19 50 205  7.4  8.5  1.18  5.56  4.27 999 1012.7   9.9   8.5 999.0 99.0 99.00
2012 01 06 20 50 196  9.8 11.2  1.39  5.00  4.24 999 1012.3   9.8   8.5 999.0 99.0 99.00
2012 01 06 21 50 198  7.4  9.0  1.29  5.56  4.30 999 1012.7   9.8   8.5 999.0 99.0 99.00
2012 01 06 22 50 202  6.4  7.2  1.23  5.26  4.20 999 1013.0   9.9   8.5 999.0 99.0 99.00
2012 01 06 23 50 195  5.5  6.2  1.20  5.56  4.44 999 1013.1   9.9   8.3 999.0 99.0 99.00
2012 01 07 00 50 200  6.2  7.1  1.12  5.88  4.44 999 1012.8   9.8   8.3 999.0 99.0 99.00
2012 01 07 01 50 209  7.6  8.7  1.13  5.88  4.37 999 1012.7  10.5   8.3 999.0 99.0 99.00
2012 01 07 02 50 213  7.7  9.1  1.07  5.88  4.32 999 1012.7  10.3   8.2 999.0 99.0 99.00
2012 01 07 03 50 206  7.6  8.9  1.14  5.88  4.37 999 1012.5  10.1   8.2 999.0 99.0 99.00
