YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 06 17 00 214  5.6  6.8  1.25  6.67  5.47 999 1010.1   8.9   8.2   8.3 99.0 99.00
2005 01 06 18 00 216  6.1  7.1  1.24  6.25  5.13 999 1008.8   8.9   8.4   8.4 99.0 99.00
2005 01 06 19 00 216  5.9  7.2  1.36  7.14  4.96 999 1008.2   9.5   8.4   9.0 99.0 99.00
2005 01 06 20 00 235  5.1  6.2  1.63  6.67  5.11 999 1008.7   9.8   8.5   9.1 99.0 99.00
2005 01 06 21 00 246  4.6  5.5  1.62  7.69  5.27 999 1009.2   9.7   8.5   9.1 99.0 99.00
2005 01 06 22 00 221  5.1  5.9  1.78  7.69  5.63 999 1009.3   9.8   8.5   9.1 99.0 99.00
2005 01 06 23 00 205  7.2  8.7  1.68  7.69  5.57 999 1008.7   9.8   8.5   9.1 99.0 99.00
2005 01 07 00 00 212  5.7  6.7  1.74  7.69  5.72 999 1008.9  10.7   8.5  10.0 99.0 99.00
2005 01 07 01 00 250  4.1  5.0  1.59  7.14  5.84 999 1009.8   9.6   8.5   8.9 99.0 99.00
2005 01 07 02 00 239  4.1  4.9  1.70  6.67  6.02 999 1010.5  10.2   8.5   9.5 99.0 99.00
2005 01 07 03 00 214  5.5  6.3  1.70  6.67  6.03 999 1010.1  10.8   8.5  10.1 99.0 99.00
2005 01 07 04 00 244  3.7  4.9  1.64  7.69  5.79 999 1010.4  10.4   8.4   9.7 99.0 99.00
2005 01 07 05 00 338  4.6  5.4  1.62  6.25  5.91 999 1011.6   8.6   8.3   7.9 99.0 99.00
2005 01 07 06 00 339  3.9  5.0  1.74  8.33  6.10 999 1012.6   8.2   8.3   7.5 99.0 99.00
2005 01 07 07 00 323  5.0  5.9  1.37  7.69  5.69 999 1013.8   8.5   8.3   7.7 99.0 99.00
2005 01 07 08 00 323  5.6  6.6  1.41  6.25  5.56 999 1015.3   8.2   8.3   7.4 99.0 99.00
2005 01 07 09 00 318  4.3  5.4  1.33  6.67  5.76 999 1016.5   7.9   8.3   7.0 99.0 99.00
2005 01 07 10 00 341  6.2  7.2  1.28  7.69  5.53 999 1018.0   7.3   8.4   5.1 99.0 99.00
