YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 08 13 256  1.7  2.1  1.00  6.25  5.32 999 1009.7   4.4   4.0   3.1 99.0 99.00
2001 01 08 14 114  0.8  1.9  0.91  6.25  5.57 999 1010.4   4.0   3.3   3.0 99.0 99.00
2001 01 08 15 356  1.4  2.4  0.93  6.25  5.71 999 1010.6   4.4   2.9   3.2 99.0 99.00
2001 01 08 16 159  1.1  1.4  0.90  6.25  5.73 999 1009.9   4.4   2.8   3.1 99.0 99.00
2001 01 08 17 279  0.9  1.5  0.80  5.88  5.36 999 1008.3   4.7   3.5   3.1 99.0 99.00
2001 01 08 18 156  0.5  1.0  0.84  5.56  5.44 999 1007.3   4.7   3.9   3.1 99.0 99.00
2001 01 08 19 125  2.3  3.0  0.79 10.00  5.53 999 1006.2   4.7   4.1   3.8 99.0 99.00
2001 01 08 20  94  2.1  2.2  0.80  5.56  5.45 999 1005.3   5.1   4.2   3.7 99.0 99.00
2001 01 08 21 275  2.8  3.6  0.77 10.00  5.34 999 1005.5   4.2   4.1   3.2 99.0 99.00
2001 01 08 22 301  2.5  2.9  0.78  9.09  5.42 999 1005.1   4.1   4.0   3.3 99.0 99.00
2001 01 08 23 327  4.6  5.5  0.72  8.33  5.14 999 1005.1   3.6   4.0   3.3 99.0 99.00
2001 01 09 00 318  5.9  6.9  0.78  9.09  5.41 999 1005.4   3.6   4.2   3.5 99.0 99.00
2001 01 09 01 312  9.7 11.6  0.85  9.09  4.29 999 1005.9   3.1   4.1   3.0 99.0 99.00
2001 01 09 02 321  9.1 10.7  0.99  3.70  4.02 999 1006.2   3.1   4.3   3.0 99.0 99.00
2001 01 09 03 314 10.8 13.1  1.27  4.17  4.07 999 1006.5   3.0   4.3   2.4 99.0 99.00
2001 01 09 04 317 11.1 12.9  1.35  4.35  4.05 999 1006.9   2.8   4.3   2.0 99.0 99.00
2001 01 09 05 317 11.5 13.9  1.47  4.55  4.19 999 1006.9   2.7   4.3   1.9 99.0 99.00
2001 01 09 06 320 11.2 13.2  1.48  4.55  4.16 999 1006.9   2.8   4.2   1.8 99.0 99.00
2001 01 09 07 320 10.8 13.2 99.00 99.00 99.00 999 1007.0   2.6   4.0   1.6 99.0 99.00
2001 01 09 08 318 11.0 12.8  1.34  4.55  4.14 999 1007.8   2.6   3.8   1.4 99.0 99.00
2001 01 09 09 322 10.8 12.8  1.43  4.76  4.25 999 1007.7   2.6   4.0   1.2 99.0 99.00
2001 01 09 10 324 10.5 12.3  1.39  5.00  4.40 999 1007.9   2.6   4.3   0.8 99.0 99.00
2001 01 09 11 329 11.1 13.0  1.40  4.55  4.32 999 1008.3   2.5   4.6   0.4 99.0 99.00
2001 01 09 12 328 11.2 13.4  1.45  4.76  4.33 999 1009.4   2.6   4.8  -0.5 99.0 99.00
2001 01 09 13 324 12.0 14.2  1.61  4.55  4.29 999 1010.4   2.3   4.9  -1.0 99.0 99.00
2001 01 09 14 325 12.4 15.2  1.75  5.00  4.36 999 1011.2   2.2   5.0  -1.6 99.0 99.00
2001 01 09 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 09 16 310 10.1 12.8  1.54  5.26  4.32 999 1012.5   1.5   4.9  -2.1 99.0 99.00
2001 01 09 17 322 10.6 12.8  1.67  4.76  4.44 999 1011.8   1.1   4.6  -3.5 99.0 99.00
2001 01 09 18 308 10.3 12.6  1.60  4.76  4.43 999 1011.4   0.4   4.1  -4.8 99.0 99.00
2001 01 09 19 323 10.9 13.1  1.74  4.76  4.54 999 1011.3   0.0   4.2  -5.3 99.0 99.00
2001 01 09 20 316  9.6 11.9  1.75  5.00  4.68 999 1011.3   0.1   4.2  -5.2 99.0 99.00
2001 01 09 21 301 10.8 13.2  1.66  5.26  4.67 999 1011.4   0.0   4.2  -6.7 99.0 99.00
2001 01 09 22 297 11.0 14.3  1.76  5.56  4.79 999 1012.2  -0.2   4.2  -6.1 99.0 99.00
2001 01 09 23 300 12.7 15.2  1.83  5.00  4.68 999 1012.6  -0.4   4.3  -6.6 99.0 99.00
